Personal traits,ordonné,organised
Personal traits,l'image de soi,self image
Personal traits,narcissique,narcissistic
Personal traits,actif,active
Personal traits,entreprenant,entrepreneurial
Personal traits,superficial,superficial
Personal traits,meticuleux,miticulous
Personal traits,collaborateur,collaborator
Personal traits,paresseux,lazy
Personal traits,jamis ponctuel,never on time
Personal traits,procrastinateur,procrastinator
Personal traits,pressé,busy
Personal traits,joyeux,joyful
Personal traits,modeste,modest
Personal traits,humble,humble
Personal traits,prétentieux,pretentious
Personal traits,obsessional,obsessive
Personal traits,extravagant,extravagant
Personal traits,provocateur,troublemaker
Personal traits,dynamique,dynamic
Personal traits,orgueilleux,big headed
Personal traits,amoureux,loving
Personal traits,idéaliste,idealist
Personal traits,curieux,courious
Personal traits,triste,sad
Personal traits,indépendante,independent
Personal traits,pessimiste,pessimist
Personal traits,ambitieux,ambitious
Personal traits,timide,timid
Personal traits,égoiste,egotist
Personal traits,autoritaire,authoritarian
Personal traits,jaloux,jealous
Personal traits,chanceux,lucky
Personal traits,indifferent,indifferent
Personal traits,énervé,irratiable
Personal traits,intéressant,interesting
Personal traits,compliqué,complicated
Personal traits,fort,strong
Personal traits,maladroit,clumsy
Personal traits,courageux,courageous
Personal traits,réaliste,realistic
Personal traits,généreux,generous
Personal traits,bavard,talkative
Work,le boulot,the job
Work,les congés payés,the paid vacation
Work,le contrat de travail,the work contract
Work,les horaires,the hours
Work,le travail à temps partiel,part time work
Work,l'augmentation,a raise (in pay)
Work,le salaire,the salary
Work,le bureau,the office
Work,l'atelier,workshop
Work,l'entreprise,the company
Work,l'usine,the factory
Work,le cadre,the manager
Work,le directeur,the director
Work,l'ouvrier,the worker (usually the lowest form of worker)
Work,le personnel,the personnel
Work,le travailleur,the worker
Work,faire la grève,to go on strike
Work,le syndicat,union
Work,le candidat,the candidate
Work,chercher du travail,to look for work
Work,le chômeur,the unployed person
Work,l'experience professionnelle,professional experience
Work,l'offre d'emploi,the offer of employment
Work,bien payé,well paid
Work,épanouissant,enriching / developing / blossoming
Work,stressant,stressful
Work,la collègue,the colleague
Work,le bulletin de salaire,the pay slip
Work,l'impot,tax
Clothes,la chemise,shirt
Clothes,le pantalon,pants/trousers
Clothes,le manteau,coat
Clothes,le haut,top
Clothes,le pull,sweater
Clothes,le short,shorts
Clothes,la robe,dress
Clothes,la jupe,skirt
Clothes,l'imperméable,raincoat
Clothes,le blouson,jacket
Clothes,l'anorak,heavy coat
Clothes,la veste,jacket
Clothes,le maillot de bain,bathing suit
Clothes,le soutien-gorge,bra
Clothes,le costume,suit
Clothes,le smoking,tuxedo
Clothes,la cravate,tie
Clothes,le noeud papillon,bow tie
Clothes,la ceinture,belt
Clothes,les sous vetments,underwear
Clothes,le caleçon,boxers
Clothes,les bottes,boots
Clothes,les sandales,sandals
Clothes,les chaussettes,socks
Clothes,les chaussures,shoes
Clothes,le parapluie,the unbrella
Clothes,la montre,the watch
Clothes,l'écharpe,the scarf
Clothes,la canne,the walking stick
Clothes,enrouler,to wrap around / to wind up
Clothes,le gant,the glove
Clothes,la bague,the ring
Clothes,aider à mettre ,to help put on
Various,témoignage,testimony
Various,carré,square
Various,le fait divers,small article
Various,le chemin,the way / the path
Various,le cafard,cockroach
Various,le dessein ,the intention/goal
